Date;Symbol;Indexvalue
11.03.2008;V1X;29.16
12.03.2008;V1X;27.78
13.03.2008;V1X;28.55
14.03.2008;V1X;29.81
17.03.2008;V1X;34.78
18.03.2008;V1X;31.74
19.03.2008;V1X;29.2
20.03.2008;V1X;28.34
25.03.2008;V1X;26.57
26.03.2008;V1X;26.37
27.03.2008;V1X;24.78
28.03.2008;V1X;24.47
31.03.2008;V1X;25.41
01.04.2008;V1X;23.51
02.04.2008;V1X;23.19
03.04.2008;V1X;23.78
04.04.2008;V1X;22.86
07.04.2008;V1X;22.49
08.04.2008;V1X;23
09.04.2008;V1X;23.24
10.04.2008;V1X;22.85
11.04.2008;V1X;23.52
14.04.2008;V1X;24.45
15.04.2008;V1X;23.88
16.04.2008;V1X;22.42
17.04.2008;V1X;22.3
18.04.2008;V1X;20.5
21.04.2008;V1X;21.29
22.04.2008;V1X;21.59
23.04.2008;V1X;21.09
24.04.2008;V1X;20.36
25.04.2008;V1X;19.68
28.04.2008;V1X;19.79
29.04.2008;V1X;20.17
30.04.2008;V1X;19.66
02.05.2008;V1X;18.62
05.05.2008;V1X;19.22
06.05.2008;V1X;19.21
07.05.2008;V1X;18.74
08.05.2008;V1X;18.88
09.05.2008;V1X;19.38
12.05.2008;V1X;19.69
13.05.2008;V1X;19.73
14.05.2008;V1X;19.12
15.05.2008;V1X;18.42
16.05.2008;V1X;17.78
19.05.2008;V1X;17.33
20.05.2008;V1X;19.01
21.05.2008;V1X;19.29
22.05.2008;V1X;18.93
23.05.2008;V1X;20.68
26.05.2008;V1X;20.75
27.05.2008;V1X;20.6
28.05.2008;V1X;19.71
29.05.2008;V1X;19.15
30.05.2008;V1X;19.02
02.06.2008;V1X;20.79
03.06.2008;V1X;20.36
04.06.2008;V1X;20.93
05.06.2008;V1X;20.73
06.06.2008;V1X;22.42
09.06.2008;V1X;23.59
10.06.2008;V1X;23.27
11.06.2008;V1X;23.73
12.06.2008;V1X;22.49
13.06.2008;V1X;21.31
16.06.2008;V1X;21.6
17.06.2008;V1X;21.12
18.06.2008;V1X;22.02
19.06.2008;V1X;21.9
20.06.2008;V1X;22.91
23.06.2008;V1X;22.65
24.06.2008;V1X;22.92
25.06.2008;V1X;21.33
26.06.2008;V1X;22.96
27.06.2008;V1X;23.18
30.06.2008;V1X;23.7
01.07.2008;V1X;24.59
02.07.2008;V1X;24.82
03.07.2008;V1X;24.38
04.07.2008;V1X;24.94
07.07.2008;V1X;24.35
08.07.2008;V1X;25.09
09.07.2008;V1X;24
10.07.2008;V1X;25.51
11.07.2008;V1X;26.84
14.07.2008;V1X;26.52
15.07.2008;V1X;27.78
16.07.2008;V1X;26.76
17.07.2008;V1X;25.15
18.07.2008;V1X;23.4
21.07.2008;V1X;23.04
22.07.2008;V1X;22.77
23.07.2008;V1X;21.92
24.07.2008;V1X;22.55
25.07.2008;V1X;22.16
28.07.2008;V1X;23.82
29.07.2008;V1X;23.54
30.07.2008;V1X;22.43
31.07.2008;V1X;22.29
01.08.2008;V1X;23.06
04.08.2008;V1X;24.68
05.08.2008;V1X;22.68
06.08.2008;V1X;21.74
07.08.2008;V1X;22.29
08.08.2008;V1X;21.63
11.08.2008;V1X;21.51
12.08.2008;V1X;21.67
13.08.2008;V1X;23.28
14.08.2008;V1X;22.85
15.08.2008;V1X;21.67
18.08.2008;V1X;22.05
19.08.2008;V1X;23.18
20.08.2008;V1X;22.08
21.08.2008;V1X;22.45
22.08.2008;V1X;21.16
25.08.2008;V1X;22.37
26.08.2008;V1X;21.72
27.08.2008;V1X;21.87
28.08.2008;V1X;20.81
29.08.2008;V1X;20.48
01.09.2008;V1X;21.2
02.09.2008;V1X;20.81
03.09.2008;V1X;21.21
04.09.2008;V1X;23.77
05.09.2008;V1X;25.23
08.09.2008;V1X;24.59
09.09.2008;V1X;24.59
10.09.2008;V1X;25.15
11.09.2008;V1X;25.6
12.09.2008;V1X;25.34
15.09.2008;V1X;29.03
16.09.2008;V1X;30.7
17.09.2008;V1X;32.47
18.09.2008;V1X;32.79
19.09.2008;V1X;30.89
22.09.2008;V1X;28.83
23.09.2008;V1X;28.9
